Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),AvgDist (keepersadv_p90),TMPosition
98,Hugo Lloris,FRA,GK,Tottenham,Premier League,36,1986,25,25,2205,24.5,1.59,0.04,0,0.12,0.04,1.38,0.01,-0.17,3.14,8.9,22,4.45,1.28,7.59,1.05,13.14,0.82,1.18,1.02,90,1.59,4.78,3.22,0.53,0.12,0.37,0.29,0.04,0.04,0,0,13.8,Goalkeeper
99,Anthony Lopes,POR,GK,Lyon,Ligue 1,32,1990,32,32,2816,31.3,1.25,0.22,0.06,0.16,0.06,1.32,0.01,0.14,3.64,10.13,26.77,4.28,1.02,5.85,1.02,11.44,0.61,0.8,1.02,89.97,1.25,4.19,3,0.51,0.13,0.38,0.22,0.22,0.22,0,0,13.9,Goalkeeper
100,Diego López,ESP,GK,Rayo Vallecano,La Liga,41,1981,2,1,96,1.1,3.64,0,0,1.82,0,1.55,0.3,-2.09,1.82,7.27,19.09,4.55,27.55,7.27,32.09,10.91,0,1.82,0.91,87.27,3.64,4.55,0.91,0,0,0.91,0,0,0,0,0,17,Goalkeeper
101,Pau López,ESP,GK,Marseille,Ligue 1,28,1994,33,32,2925,32.5,1.05,0.15,0,0.18,0.03,1.04,0.01,0.02,3.45,9.97,28.95,4.06,0.95,5.29,1.24,11.38,0.68,1.14,0.98,90,1.05,3.78,2.77,0.65,0.12,0.22,0.31,0.15,0.15,0,0,15.4,Goalkeeper
102,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,1999,7,7,630,7,1,0,0,0.14,0.14,0.64,0.04,-0.21,2,3.86,27.14,5.14,3.33,5.29,5.09,7.71,0.14,1.57,1,90,1,2.57,1.71,0.57,0.14,0.29,0.43,0,0,0,0,21.7,Goalkeeper
103,Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,31,1991,1,1,90,1,2,0,0,0,0,1.4,0.35,-0.6,4,10,41,7,30.3,3,15.3,6,1,1,1,90,2,4,2,0,0,1,0,0,0,0,0,13,Goalkeeper
104,Mike Maignan,FRA,GK,Milan,Serie A,27,1995,22,22,1978,22,0.95,0.09,0.05,0.09,0,0.92,0.01,-0.03,3.45,8.77,32.95,5.41,1.35,3.86,1.6,10.05,0.68,1.45,1,89.91,0.95,2.82,1.82,0.5,0.32,0.18,0.36,0.14,0.09,0.05,0,17.8,Goalkeeper
105,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,2000,38,38,3420,38,1.18,0.05,0,0.18,0.05,1.13,0.01,0,4.66,13.74,22.18,3.74,0.92,6.29,1.43,12.03,0.92,1.24,1,90,1.18,3.89,2.76,0.29,0.24,0.47,0.18,0.13,0.05,0,0.08,16.3,Goalkeeper
106,Steve Mandanda,FRA,GK,Rennes,Ligue 1,38,1985,34,34,3014,33.5,0.93,0.06,0,0.15,0.03,0.97,0.01,0.07,4.87,12.54,30.51,4.96,0.94,5.73,1.24,11.4,1.04,1.52,1.01,89.97,0.93,3.28,2.36,0.57,0.15,0.3,0.36,0.09,0.06,0.03,0,16.7,Goalkeeper
107,Vito Mannone,ITA,GK,Lorient,Ligue 1,35,1988,18,17,1608,17.9,1.34,0.06,0.11,0.11,0,1.41,0.02,0.07,3.13,9.83,26.31,5.64,1.65,6.26,2.09,19.22,0.67,0.5,0.95,89.83,1.34,4.69,3.35,0.22,0.34,0.39,0.28,0.06,0.06,0,0,10.6,Goalkeeper
